date,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
1970-01-01 00:00:00.000000000,2025-03-31,USD,35926000000,90191000000,54265000000,54265000000,5022000000,9568000000,None,30904000000,None,-1257000000,5632000000,1257000000,None,None,None,3265000000,5148000000,476000000,None,4672000000,None,6405000000,9670000000,4603000000
1970-01-01 00:00:00.000000001,2024-12-31,USD,10063000000,98098000000,88035000000,88035000000,23151000000,3430000000,None,-13088000000,None,-1440000000,6375000000,1440000000,None,None,None,3283000000,24025000000,4274000000,None,19751000000,None,25465000000,28748000000,19694000000
1970-01-01 00:00:00.000000002,2024-09-30,USD,8540000000,92995000000,30323000000,30323000000,-42360000000,9098000000,None,50900000000,None,-1214000000,5896000000,1214000000,None,None,None,3206000000,32286000000,6028000000,None,26480000000,None,33722000000,36928000000,26251000000
1970-01-01 00:00:00.000000003,2024-06-30,USD,55058000000,100510000000,45452000000,45452000000,37885000000,6166000000,None,17173000000,None,-1230000000,5249000000,1230000000,None,None,None,3198000000,38137000000,7639000000,None,30498000000,None,39367000000,42565000000,30348000000
1970-01-01 00:00:00.000000004,2024-03-31,USD,33071000000,88256000000,55185000000,55185000000,15213000000,6464000000,None,17858000000,None,-1316000000,4305000000,1316000000,None,None,None,3168000000,15706000000,2874000000,None,12832000000,None,17022000000,20190000000,12702000000
1970-01-01 00:00:00.000000005,2023-12-31,USD,48115000000,94825000000,46710000000,46710000000,46426000000,4423000000,None,1689000000,None,-1276000000,4439000000,1276000000,None,None,None,3129000000,46938000000,9180000000,None,37758000000,None,48214000000,51343000000,37574000000
1970-01-01 00:00:00.000000006,2023-09-30,USD,32383000000,63432000000,31049000000,31049000000,12557000000,1489000000,None,49604000000,None,-1260000000,29516000000,1260000000,None,None,None,3210000000,-16959000000,-4392000000,None,-12567000000,None,9347000000,12557000000,-12767000000
1970-01-01 00:00:00.000000007,2023-06-30,USD,125564000000,125564000000,73197000000,73197000000,45435000000,1457000000,None,80129000000,None,-1249000000,3846000000,1249000000,None,None,None,3096000000,45435000000,9236000000,None,36199000000,None,-21458000000,-18362000000,35912000000
1970-01-01 00:00:00.000000008,2023-03-31,USD,120151000000,120151000000,30319000000,30319000000,44752000000,1477000000,None,75399000000,None,-1218000000,35446000000,1218000000,None,35446000000,None,3051000000,44752000000,8995000000,None,35757000000,None,45717000000,48768000000,35504000000
1970-01-01 00:00:00.000000009,2022-12-31,USD,36208000000,160527000000,124319000000,124319000000,90110000000,1402000000,None,70417000000,None,-1139000000,15278000000,1139000000,None,None,None,2758000000,22211000000,3890000000,None,18321000000,None,23193000000,25951000000,18164000000
1970-01-01 00:00:00.000000010,2022-09-30,USD,76934000000,76934000000,13465000000,13465000000,9348000000,1418000000,None,67586000000,None,-1092000000,13024000000,1092000000,None,-13024000000,None,2728000000,-4117000000,-1529000000,None,-2588000000,None,-3125000000,-397000000,-2688000000
1970-01-01 00:00:00.000000011,2022-06-30,USD,76180000000,76180000000,66919000000,66919000000,11437000000,1498000000,None,64743000000,None,-1087000000,2861000000,1087000000,None,-66688000000,None,2710000000,-55482000000,-12106000000,None,-43376000000,None,-54774000000,-52064000000,-43755000000
1970-01-01 00:00:00.000000012,2022-03-31,USD,70810000000,70810000000,1978000000,1978000000,8790000000,1232000000,None,62020000000,None,-1034000000,1862000000,1034000000,None,-1602000000,None,2703000000,6812000000,1227000000,None,5585000000,None,7721000000,10424000000,5460000000
1970-01-01 00:00:00.000000013,2021-12-31,USD,33783000000,33783000000,-128173000000,-128173000000,-29589000000,1221000000,None,63372000000,None,-990000000,1921000000,990000000,None,40747000000,None,2705000000,48953000000,9055000000,None,39898000000,None,49691000000,52396000000,39646000000
1970-01-01 00:00:00.000000014,2021-09-30,USD,75504000000,75504000000,33597000000,33597000000,12484000000,1116000000,None,63020000000,None,-1056000000,5298000000,1056000000,None,5298000000,None,2668000000,12484000000,1840000000,None,10644000000,None,13240000000,15908000000,10344000000
1970-01-01 00:00:00.000000015,2021-06-30,USD,96508000000,96508000000,32963000000,32963000000,35721000000,982000000,None,60787000000,None,-1076000000,1898000000,1076000000,None,27541000000,None,2672000000,35721000000,7296000000,None,28425000000,None,36466000000,39138000000,28094000000
1970-01-01 00:00:00.000000016,2021-03-31,USD,70299000000,70299000000,26530000000,26530000000,14528000000,882000000,None,55771000000,None,-1050000000,1851000000,1050000000,None,5951000000,None,2673000000,14528000000,2688000000,None,11840000000,None,15449000000,18122000000,11711000000
1970-01-01 00:00:00.000000017,2020-12-31,USD,62989000000,62989000000,-81430000000,-81430000000,4657000000,915000000,None,58332000000,None,-1057000000,1949000000,1057000000,None,None,None,2904000000,45403000000,9273000000,None,36130000000,None,46165000000,49069000000,35835000000
1970-01-01 00:00:00.000000018,2020-09-30,USD,94606000000,94606000000,29912000000,29912000000,37930000000,854000000,None,56676000000,None,-1000000000,1717000000,1000000000,None,None,None,2583000000,37930000000,7517000000,None,30413000000,None,38654000000,41237000000,30137000000
1970-01-01 00:00:00.000000019,2020-06-30,USD,96925000000,96925000000,55584000000,55584000000,35409000000,749000000,None,61516000000,None,-1002000000,2150000000,1002000000,None,-257000000,None,2524000000,35409000000,9002000000,None,26407000000,None,36299000000,38823000000,26295000000
1970-01-01 00:00:00.000000020,2020-03-31,USD,61265000000,61265000000,29116000000,29116000000,7226000000,1002000000,None,54039000000,None,-1024000000,2276000000,1024000000,None,300000000,None,2585000000,-63049000000,-13352000000,None,-49697000000,None,-62074000000,-59489000000,-49746000000
1970-01-01 00:00:00.000000021,2019-12-31,USD,24072000000,24072000000,-123503000000,-123503000000,-35806000000,973000000,None,59878000000,None,-993000000,2345000000,993000000,None,31551000000,None,2657000000,36801000000,7571000000,None,29230000000,None,37723000000,40380000000,29159000000
1970-01-01 00:00:00.000000022,2019-09-30,USD,75898000000,75898000000,26950000000,26950000000,20489000000,1010000000,None,55409000000,None,-985000000,2483000000,985000000,None,11570000000,None,2534000000,20489000000,3832000000,None,16657000000,None,21341000000,23875000000,16524000000
1970-01-01 00:00:00.000000023,2019-06-30,USD,73646000000,73646000000,27047000000,27047000000,17759000000,1000000000,None,55887000000,None,-992000000,2295000000,992000000,None,10172000000,None,2456000000,17759000000,3586000000,None,14173000000,None,18651000000,21107000000,14073000000
1970-01-01 00:00:00.000000024,2019-03-31,USD,81000000000,81000000000,25767000000,25767000000,27647000000,1020000000,None,53353000000,None,-991000000,2117000000,991000000,None,20490000000,None,2417000000,27647000000,5915000000,None,21732000000,None,28567000000,30984000000,21661000000
1970-01-01 00:00:00.000000025,2018-12-31,USD,50661000000,50661000000,-91093000000,-91093000000,-10266000000,4061000000,0,60927000000,None,None,None,1244000000,None,-38719000000,None,2610000000,-32721000000,-7330000000,None,-25391000000,None,-31478000000,-28868000000,-25392000000
1970-01-01 00:00:00.000000026,2018-09-30,USD,78156000000,78156000000,1273000000,1273000000,23147000000,564000000,0,55009000000,None,None,None,896000000,None,15022000000,None,2395000000,23147000000,4440000000,None,18707000000,None,23876000000,26271000000,18540000000
1970-01-01 00:00:00.000000027,2018-06-30,USD,68562000000,68562000000,35660000000,35660000000,15098000000,4150000000,0,53464000000,None,None,None,521000000,None,6689000000,None,2387000000,15098000000,3021000000,None,12077000000,None,15553000000,17940000000,12011000000
1970-01-01 00:00:00.000000028,2018-03-31,USD,50458000000,50458000000,25415000000,25415000000,-1523000000,4024000000,0,51981000000,None,None,None,1192000000,None,-7614000000,None,2387000000,-1523000000,-452000000,None,-1071000000,None,-398000000,1989000000,-1138000000
1970-01-01 00:00:00.000000029,2017-12-31,USD,58907000000,58907000000,-81482000000,-81482000000,6391000000,4140000000,0,52516000000,None,None,None,1594000000,None,None,None,2353000000,6391000000,-26265000000,None,45721000000,None,7880000000,10233000000,32551000000
1970-01-01 00:00:00.000000030,2017-09-30,USD,60525000000,60525000000,25815000000,25815000000,5630000000,3965000000,0,54895000000,None,None,None,1233000000,None,252000000,None,2296000000,5630000000,1427000000,None,4203000000,None,6727000000,9023000000,4067000000
1970-01-01 00:00:00.000000031,2017-06-30,USD,57518000000,57518000000,48912000000,48912000000,6129000000,7694000000,0,51389000000,None,None,None,1500000000,None,309000000,None,2296000000,6129000000,1774000000,None,4355000000,None,7536000000,9832000000,4262000000
1970-01-01 00:00:00.000000032,2017-03-31,USD,65187000000,65187000000,867000000,867000000,5688000000,442000000,0,59499000000,None,None,None,1067000000,None,239000000,None,2243000000,5688000000,1549000000,None,4139000000,None,6676000000,8919000000,4060000000
1970-01-01 00:00:00.000000033,2016-12-31,USD,57673000000,57673000000,-70177000000,-70177000000,9314000000,438000000,None,48359000000,None,None,None,554000000,None,None,None,2296000000,9314000000,2959000000,None,6355000000,None,9799000000,12095000000,6286000000
1970-01-01 00:00:00.000000034,2016-09-30,USD,59068000000,59068000000,886000000,886000000,10525000000,465000000,None,48543000000,None,None,None,1043000000,None,None,None,2246000000,10525000000,3192000000,None,7333000000,None,11433000000,13679000000,7198000000
1970-01-01 00:00:00.000000035,2016-06-30,USD,54460000000,54460000000,31563000000,31563000000,7372000000,4066000000,None,47088000000,None,None,None,727000000,None,None,None,2234000000,7372000000,2290000000,None,5082000000,None,8018000000,10252000000,5001000000
1970-01-01 00:00:00.000000036,2016-03-31,USD,52403000000,52403000000,22796000000,22796000000,6456000000,3722000000,None,45947000000,None,None,None,1173000000,None,None,None,2125000000,6456000000,799000000,None,5657000000,None,7561000000,9686000000,5589000000
1970-01-01 00:00:00.000000037,2015-12-31,USD,51820000000,51820000000,117594000000,117594000000,7381000000,3546000000,None,44439000000,None,None,None,808000000,None,None,None,1978000000,7381000000,1834000000,None,None,None,8120000000,10098000000,5478000000
1970-01-01 00:00:00.000000038,2015-09-30,USD,58989000000,58989000000,22297000000,22297000000,14072000000,3721000000,None,44917000000,None,None,None,865000000,None,None,None,1989000000,14072000000,4545000000,None,9527000000,None,14838000000,16827000000,9428000000
1970-01-01 00:00:00.000000039,2015-06-30,USD,51368000000,51368000000,42189000000,42189000000,5846000000,6091000000,None,45522000000,None,None,None,967000000,None,None,None,1941000000,5846000000,1739000000,None,4107000000,None,6719000000,8660000000,4013000000
1970-01-01 00:00:00.000000040,2015-03-31,USD,48644000000,48644000000,659000000,659000000,7647000000,365000000,None,40997000000,None,None,None,875000000,None,None,None,1871000000,7647000000,2414000000,None,5233000000,None,8453000000,10324000000,5164000000
1970-01-01 00:00:00.000000041,2014-12-31,USD,48259000000,48259000000,111009000000,111009000000,5841000000,379000000,None,42418000000,None,None,None,830000000,None,None,None,1934000000,5841000000,1623000000,None,None,None,6608000000,8542000000,4155000000
1970-01-01 00:00:00.000000042,2014-09-30,USD,51199000000,51199000000,762000000,762000000,6750000000,344000000,None,44449000000,None,None,None,817000000,None,None,None,1854000000,6750000000,2029000000,None,4721000000,None,7463000000,9317000000,4617000000
1970-01-01 00:00:00.000000043,2014-06-30,USD,49762000000,49762000000,692000000,692000000,8916000000,423000000,None,40846000000,None,None,None,824000000,None,None,None,1810000000,8916000000,2458000000,None,6458000000,None,9677000000,11487000000,6395000000
1970-01-01 00:00:00.000000044,2014-03-31,USD,45453000000,45453000000,589000000,589000000,6598000000,377000000,None,38855000000,None,None,None,782000000,None,None,None,1772000000,6598000000,1825000000,None,4773000000,None,7312000000,9084000000,4705000000
1970-01-01 00:00:00.000000045,2013-12-31,USD,47049000000,47049000000,102210000000,102210000000,7232000000,3228000000,None,39817000000,None,None,None,718000000,None,None,None,2472000000,7232000000,2169000000,None,None,None,7877000000,10349000000,4990000000
1970-01-01 00:00:00.000000046,2013-09-30,USD,46541000000,46541000000,19399000000,19399000000,7378000000,2909000000,None,39163000000,None,None,None,706000000,None,None,None,1354000000,7378000000,2225000000,None,5153000000,None,7984000000,9338000000,5053000000
1970-01-01 00:00:00.000000047,2013-06-30,USD,44693000000,44693000000,19373000000,19373000000,6891000000,2926000000,None,37802000000,None,None,None,691000000,None,None,None,1345000000,6891000000,2279000000,None,4612000000,None,7511000000,8856000000,4541000000
1970-01-01 00:00:00.000000048,2013-03-31,USD,43867000000,43867000000,18284000000,18284000000,7295000000,2854000000,None,36572000000,None,None,None,686000000,None,None,None,1337000000,7295000000,2278000000,None,None,None,7856000000,9193000000,4892000000
1970-01-01 00:00:00.000000049,2012-12-31,USD,44720000000,44720000000,75222000000,75222000000,6754000000,3026000000,None,37966000000,None,None,None,665000000,None,None,None,1332000000,6754000000,2093000000,None,None,None,7309000000,8641000000,4551000000
1970-01-01 00:00:00.000000050,2012-09-30,USD,884000000,41168000000,40284000000,40284000000,5936000000,2573000000,None,-5052000000,None,None,None,692000000,None,None,None,1296000000,5936000000,1882000000,None,None,None,6628000000,7924000000,3920000000
1970-01-01 00:00:00.000000051,2012-06-30,USD,35000000,39614000000,39579000000,39579000000,4615000000,2476000000,None,-4580000000,None,None,None,696000000,None,None,None,1265000000,4615000000,1384000000,None,None,None,5311000000,6576000000,3108000000
1970-01-01 00:00:00.000000052,2012-03-31,USD,89000000,37144000000,37055000000,37055000000,4931000000,2428000000,None,-4842000000,None,None,None,691000000,None,None,None,1253000000,4931000000,1565000000,None,None,None,5622000000,6875000000,3245000000
1970-01-01 00:00:00.000000053,2011-12-31,USD,214000000,38271000000,38057000000,38057000000,4452000000,2408000000,None,-4238000000,None,None,None,675000000,None,None,None,1265000000,4452000000,1261000000,None,None,None,5127000000,6392000000,3048000000
1970-01-01 00:00:00.000000054,2011-09-30,USD,760000000,36190000000,35430000000,35430000000,3363000000,2105000000,None,-2603000000,None,None,None,669000000,None,None,None,1142000000,3363000000,953000000,None,None,None,4032000000,5174000000,2278000000
1970-01-01 00:00:00.000000055,2011-06-30,USD,1149000000,38297000000,37148000000,37148000000,5265000000,4157000000,None,-4116000000,None,None,None,662000000,None,None,None,1141000000,5265000000,1725000000,None,None,None,5927000000,7068000000,3417000000
1970-01-01 00:00:00.000000056,2011-03-31,USD,-809000000,33942000000,34751000000,34751000000,2234000000,2035000000,None,-3043000000,None,None,None,658000000,None,None,None,1135000000,2234000000,629000000,None,None,None,2892000000,4027000000,1511000000
1970-01-01 00:00:00.000000057,2010-12-31,USD,16965000000,35956000000,18991000000,18991000000,6481000000,2054000000,None,10484000000,None,None,None,660000000,None,None,None,1170000000,6481000000,2008000000,None,None,None,7141000000,8311000000,4377000000
1970-01-01 00:00:00.000000058,2010-09-30,USD,442000000,36435000000,35993000000,35993000000,4534000000,1896000000,None,-4092000000,None,None,None,668000000,None,None,None,1094000000,4534000000,1415000000,None,None,None,5202000000,6296000000,2989000000
1970-01-01 00:00:00.000000059,2010-06-30,USD,695000000,33883000000,33188000000,33188000000,2938000000,1915000000,None,-2243000000,None,None,None,637000000,None,None,None,1100000000,2938000000,848000000,None,None,None,3575000000,4675000000,1968000000
1970-01-01 00:00:00.000000060,2010-03-31,USD,-3699000000,31623000000,35322000000,35322000000,5098000000,1839000000,None,-8797000000,None,None,None,593000000,None,None,None,915000000,5098000000,1336000000,None,None,None,5691000000,6606000000,3633000000
1970-01-01 00:00:00.000000061,2009-12-31,USD,-3245000000,29207000000,32452000000,32452000000,4465000000,2066000000,None,-7710000000,None,None,None,500000000,None,None,None,812000000,4465000000,1431000000,None,None,None,4965000000,5777000000,3056000000
1970-01-01 00:00:00.000000062,2009-09-30,USD,-3604000000,28210000000,31814000000,31814000000,4839000000,2015000000,None,-8443000000,None,None,None,494000000,None,None,None,779000000,4839000000,1601000000,None,None,None,5333000000,6112000000,3238000000
1970-01-01 00:00:00.000000063,2009-06-30,USD,-3448000000,27310000000,30758000000,30758000000,4791000000,2073000000,None,-8239000000,None,None,None,510000000,None,None,None,778000000,4791000000,1520000000,None,None,None,5301000000,6079000000,3295000000
1970-01-01 00:00:00.000000064,2009-03-31,USD,-3041000000,27397000000,30438000000,30438000000,-2543000000,2282000000,None,-498000000,None,None,None,488000000,None,None,None,758000000,-2543000000,-1014000000,None,None,None,-2055000000,-1297000000,-1534000000
1970-01-01 00:00:00.000000065,2008-12-31,USD,10830000000,29199000000,18369000000,18369000000,148000000,2282000000,None,10682000000,None,None,None,480000000,None,None,None,6571000000,148000000,-167000000,None,None,None,-6141000000,628000000,117000000
1970-01-01 00:00:00.000000066,2008-09-30,USD,-4434000000,29435000000,33869000000,33869000000,1502000000,1861000000,None,-5936000000,None,None,None,514000000,None,None,None,None,1502000000,294000000,None,None,None,1502000000,2016000000,1057000000
1970-01-01 00:00:00.000000067,2008-06-30,USD,-2530000000,29829000000,32359000000,32359000000,4471000000,2049000000,None,-7001000000,None,None,None,493000000,None,None,None,None,4471000000,1443000000,None,None,None,4471000000,4964000000,2880000000
1970-01-01 00:00:00.000000068,2008-03-31,USD,-1930000000,26816000000,28746000000,28746000000,1453000000,1860000000,None,-3383000000,None,None,None,476000000,None,None,None,None,1453000000,408000000,None,None,None,1453000000,1929000000,940000000
1970-01-01 00:00:00.000000069,2007-12-31,USD,11985000000,28470000000,16485000000,16485000000,4426000000,1964000000,None,7559000000,None,None,None,497000000,None,None,None,10864000000,4426000000,1392000000,None,None,None,-6028000000,4923000000,2947000000
1970-01-01 00:00:00.000000070,2007-09-30,USD,12286000000,29873000000,17587000000,17587000000,6847000000,1732000000,None,5439000000,None,None,None,481000000,None,None,None,None,6847000000,2197000000,None,None,None,6847000000,7328000000,4553000000
1970-01-01 00:00:00.000000071,2007-06-30,USD,10063000000,27024000000,16961000000,16961000000,4816000000,1761000000,None,5247000000,None,None,None,469000000,None,None,None,None,4816000000,1617000000,None,None,None,4816000000,5285000000,3118000000
1970-01-01 00:00:00.000000072,2007-03-31,USD,9322000000,32774000000,23452000000,23452000000,4072000000,1641000000,None,5250000000,None,None,None,463000000,None,None,None,None,4072000000,1388000000,None,None,None,4072000000,4535000000,2595000000
1970-01-01 00:00:00.000000073,2006-12-31,USD,11700000000,26049000000,14349000000,14349000000,5262000000,1554000000,None,6438000000,None,None,None,453000000,None,None,None,10374000000,5262000000,1604000000,None,None,None,-4734000000,5715000000,3583000000
1970-01-01 00:00:00.000000074,2006-09-30,USD,9329000000,25371000000,16042000000,16042000000,4301000000,1560000000,None,5028000000,None,None,None,463000000,None,None,None,None,4301000000,1451000000,None,None,None,4301000000,4764000000,2772000000
1970-01-01 00:00:00.000000075,2006-06-30,USD,8197000000,23893000000,15696000000,15696000000,3602000000,1440000000,None,4595000000,None,None,None,446000000,None,None,None,None,3602000000,1208000000,None,None,None,3602000000,4048000000,2347000000
1970-01-01 00:00:00.000000076,2006-03-31,USD,6162000000,21156000000,14994000000,14994000000,3613000000,1378000000,None,2549000000,None,None,None,362000000,None,None,None,None,3613000000,1242000000,None,None,None,3613000000,3975000000,2313000000
1970-01-01 00:00:00.000000077,2005-12-31,USD,12132000000,25991000000,13859000000,13859000000,7688000000,1506000000,None,4444000000,None,None,None,169000000,None,None,None,None,7829000000,2636000000,None,None,None,7688000000,7998000000,5130000000
1970-01-01 00:00:00.000000078,2005-09-30,USD,1555000000,19104000000,17549000000,17549000000,694000000,1289000000,None,861000000,None,None,None,193000000,None,None,None,None,835000000,232000000,None,None,None,2526000000,1028000000,586000000
1970-01-01 00:00:00.000000079,2005-06-30,USD,4732000000,18629000000,13897000000,13897000000,2054000000,1242000000,None,2678000000,None,None,None,195000000,None,None,None,None,2154000000,691000000,None,None,None,222000000,2349000000,1449000000
1970-01-01 00:00:00.000000080,2005-03-31,USD,4497000000,18170000000,13673000000,13673000000,1832000000,1291000000,None,2665000000,None,None,None,166000000,None,None,None,None,1973000000,600000000,None,None,None,1832000000,2139000000,1363000000
